query15-R58-896-A1	Chr01	3288
query15-R27-29-A1	Chr01	474261
query15-R27-30-A1	Chr01	987254
query15-R34-109-A1	Chr01	1072213
query15-R58-897-A1	Chr01	1124751
query15-R34-110-A1	Chr01	1325744
query15-R105-1842-A1	Chr01	1474117
query15-R393-3879-A1	Chr01	1566342
query15-R161-2259-A1	Chr01	1599882
query15-R69-1260-A1	Chr01	1651045
query15-R46-845-A1	Chr01	1657256
query15-R44-450-A1	Chr01	1828680
query15-R44-451-A1	Chr01	1937592
query15-R34-111-A1	Chr01	1946130
query15-R72-1284-A1	Chr01	1998521
query15-R90-1594-A1	Chr01	2045981
query15-R79-1557-A1	Chr01	2122212
query15-R939-7694-A1	Chr01	2226804
query15-R105-1843-A1	Chr01	2230859
query15-R140-2145-A1	Chr01	2353758
query15-R161-2260-A1	Chr01	2402822
query15-R122-2015-A1	Chr01	2406540
query15-R72-1285-A1	Chr01	3036621
query15-R122-2016-A1	Chr01	3261912
query15-R140-2146-A1	Chr01	3416428
query15-R59-1235-A1	Chr01	3433557
query15-R57-868-A1	Chr01	3453360
query15-R302-3175-A1	Chr01	3678110
query15-R200-2481-A1	Chr01	3865595
query15-R243-2788-A1	Chr01	3894484
query15-R34-112-A1	Chr01	3927143
query15-R27-31-A1	Chr01	4337015
query15-R34-113-A1	Chr01	4354979
query15-R176-2355-A1	Chr01	4866207
query15-R200-2482-A1	Chr01	4892737
query15-R384-3630-A1	Chr01	5027225
query15-R161-2262-A1	Chr01	5351917
query15-R44-453-A1	Chr01	5539644
query15-R34-114-A1	Chr01	5685878
query15-R34-115-A1	Chr01	5767691
query15-R34-116-A1	Chr01	5842478
query15-R161-2264-A1	Chr01	6240073
query15-R72-1287-A1	Chr01	6337605
query15-R161-2265-A1	Chr01	6347180
query15-R104-1831-A1	Chr01	6998831
query15-R34-117-A1	Chr01	7228324
query15-R8-8-A1	Chr01	7361507
query15-R72-1288-A1	Chr01	7763400
query15-R269-2961-A1	Chr01	8219896
query15-R58-900-A1	Chr01	8250498
query15-R27-32-A1	Chr01	8358501
query15-R44-454-A1	Chr01	8384660
query15-R105-1845-A1	Chr01	8998109
query15-R34-118-A1	Chr01	9115452
query15-R222-2624-A1	Chr01	9770413
query15-R64-1245-A1	Chr01	9853529
query15-R33-79-A1	Chr01	9946046
query15-R72-1290-A1	Chr01	10128453
query15-R34-119-A1	Chr01	10164803
query15-R77-1555-A1	Chr01	10224488
query15-R44-455-A1	Chr01	10348363
query15-R44-456-A1	Chr01	10353081
query15-R64-1246-A1	Chr01	10404573
query15-R44-457-A1	Chr01	10408622
query15-R44-458-A1	Chr01	10423640
query15-R384-3631-A1	Chr01	10444415
query15-R161-2267-A1	Chr01	10525380
query15-R50-850-A1	Chr01	11188681
query15-R269-2963-A1	Chr01	11421280
query15-R129-2120-A1	Chr01	11506565
query15-R302-3178-A1	Chr01	11593872
query15-R44-459-A1	Chr01	11600135
query15-R44-460-A1	Chr01	11909698
query15-R58-902-A1	Chr01	11947873
query15-R34-120-A1	Chr01	12014752
query15-R140-2148-A1	Chr01	12044856
query15-R58-903-A1	Chr01	12103445
query15-R44-461-A1	Chr01	12276372
query15-R90-1595-A1	Chr01	12454992
query15-R80-1561-A1	Chr01	12477311
query15-R90-1596-A1	Chr01	12483913
query15-R122-2017-A1	Chr01	12491798
query15-R44-462-A1	Chr01	12875744
query15-R44-463-A1	Chr01	13141610
query15-R44-464-A1	Chr01	13146712
query15-R274-3119-A1	Chr01	13197184
query15-R176-2358-A1	Chr01	13278687
query15-R384-3632-A1	Chr01	13365267
query15-R72-1291-A1	Chr01	13616016
query15-R34-121-A1	Chr01	13719403
query15-R44-465-A1	Chr01	13757601
query15-R34-122-A1	Chr01	13969948
query15-R44-466-A1	Chr01	13991740
query15-R307-3321-A1	Chr01	14220591
query15-R33-80-A1	Chr01	14368495
query15-R58-904-A1	Chr01	14552014
query15-R122-2018-A1	Chr01	14608893
query15-R58-905-A1	Chr01	14648095
query15-R140-2149-A1	Chr01	14779137
query15-R105-1846-A1	Chr01	14869807
query15-R161-2268-A1	Chr01	15223477
query15-R72-1293-A1	Chr01	15249525
query15-R176-2359-A1	Chr01	15298908
query15-R72-1294-A1	Chr01	15404376
query15-R72-1295-A1	Chr01	15427599
query15-R90-1597-A1	Chr01	16449305
query15-R34-123-A1	Chr01	16626268
query15-R58-908-A1	Chr01	17404877
query15-R58-909-A1	Chr01	17408775
query15-R122-2019-A1	Chr01	17598773
query15-R34-124-A1	Chr01	17602613
query15-R83-1571-A1	Chr01	17816148
query15-R176-2360-A1	Chr01	18436624
query15-R34-125-A1	Chr01	18488214
query15-R34-126-A1	Chr01	18726617
query15-R44-467-A1	Chr01	18929776
query15-R34-127-A1	Chr01	19057459
query15-R105-1848-A1	Chr01	19105904
query15-R302-3181-A1	Chr01	19317795
query15-R44-468-A1	Chr01	19325228
query15-R90-1598-A1	Chr01	20013727
query15-R34-128-A1	Chr01	20441178
query15-R140-2150-A1	Chr01	20813488
query15-R90-1599-A1	Chr01	20917230
query15-R72-1296-A1	Chr01	21258200
query15-R34-129-A1	Chr01	21812554
query15-R44-469-A1	Chr01	21866063
query15-R302-3182-A1	Chr01	22086883
query15-R58-911-A1	Chr01	22096038
query15-R302-3183-A1	Chr01	22112243
query15-R58-912-A1	Chr01	22132085
query15-R269-2966-A1	Chr01	22847689
query15-R44-470-A1	Chr01	23660416
query15-R72-1297-A1	Chr01	23827156
query15-R384-3637-A1	Chr01	24128244
query15-R34-130-A1	Chr01	24135086
query15-R90-1600-A1	Chr01	24185794
query15-R176-2362-A1	Chr01	24514576
query15-R139-2136-A1	Chr01	24680552
query15-R140-2151-A1	Chr01	25004394
query15-R139-2137-A1	Chr01	25470831
query15-R384-3639-A1	Chr01	25599858
query15-R58-913-A1	Chr01	25621446
query15-R72-1298-A1	Chr01	25680429
query15-R105-1849-A1	Chr01	25684247
query15-R34-131-A1	Chr01	26013590
query15-R27-33-A1	Chr01	26176449
query15-R384-3640-A1	Chr01	26186184
query15-R27-34-A1	Chr01	26398678
query15-R44-471-A1	Chr01	26433141
query15-R44-472-A1	Chr01	26811466
query15-R58-914-A1	Chr01	26971289
query15-R105-1850-A1	Chr01	27338153
query15-R90-1601-A1	Chr01	27356792
query15-R3523-13431-A1	Chr01	27420052
query15-R269-2968-A1	Chr01	27742881
query15-R341-3388-A1	Chr01	28350690
query15-R58-916-A1	Chr01	28437390
query15-R176-2363-A1	Chr01	28442094
query15-R90-1602-A1	Chr01	28451332
query15-R58-917-A1	Chr01	28497240
query15-R122-2021-A1	Chr01	28742354
query15-R222-2626-A1	Chr01	28883014
